id,name,rating,review_count,latitude,longitude,address1,city,state,distance
TBoYnkPNFn9ASccYCYsJfw,Nancy's Pizza,4,75,41.88318,-87.65308,1000 W Washington,Chicago,IL,3185.54319446856
VDB09Hx4zzfXiAVKbt0Y4w,Phil's Pizza,4,390,41.8309,-87.65363,1102 W 35th St,Chicago,IL,8496.98020984807
2cDt9At556hf146QH_XkhQ,Forno Rosso Pizzeria Napoletana,4.5,455,41.8845699,-87.65406,1048 W Randolph St,Chicago,IL,2998.96528771285
Mp1-ZUhNcXUAM-D3h3nGkQ,My Pi Pizza,4,395,41.918194,-87.677813,2010 N Damen Ave,Chicago,IL,1472.32361186247
AqJM4ZZqKnYU5z4E8DruhA,Happy Camper - Old Town,4,641,41.9042336,-87.6343073,1209 N Wells St,Chicago,IL,3597.9137644194
Xh5vGcoKk-SaBw7GUZDFxg,Paulie Gee's Logan Square,4,403,41.92589,-87.70168,2451 N Milwaukee Ave,Chicago,IL,3045.7609425217
Bxd9Y2PsdvIOGIKFQh53RQ,Giordano's,4,2796,41.885165,-87.623753,130 E Randolph,Chicago,IL,4992.86923857788
xlX-nO0SaNwjGueCsgV-0g,Dimo's Pizza,4,950,41.94521,-87.65467,3463 N Clark St,Chicago,IL,4844.8254817716
M1uM-ybxppDn_N5aO6Mg5A,Roots Handmade Pizza - West Town,3.5,914,41.896268,-87.675636,1924 W Chicago Ave,Chicago,IL,1006.65278047994
QNbWTNuAEMWOurHN8rMXnA,Chicago Pizza And Oven Grinder Company,4,2562,41.92084,-87.63721,2121 N Clark St,Chicago,IL,3773.74107523843
XsQAbUtRqYp917LspePHeg,Gallucci Pizzeria Napoletana,4.5,75,41.91064,-87.63437,1551 N Wells St,Chicago,IL,3628.96207338111
GRAxtNGcadDD5dphCFmD8A,Chef Bill Kim's Pizza and Parm Shop,4.5,3,41.90954,-87.67768,1542 North Damen Ave,Chicago,IL,499.380739558477
Nza-kbPzUfFMZGyJz12sYg,The StopAlong,4.5,215,41.91426,-87.68393,1812 N Milwaukee Ave,Chicago,IL,1136.64756356247
Rn3o8GcYBPFJX5MWJn0r1Q,Robert's Pizza & Dough Company,4.5,411,41.8906916389975,-87.6172096480698,465 N McClurg,Chicago,IL,5263.7863977485
qbpo-OPav2tv4TV5C8BFKw,Homeslice,4,1143,41.921917,-87.652489,938 W Webster Ave,Chicago,IL,2801.33233170682
0ZENqrACvQ4tiMvFEkgVPg,Jimmy's Pizza Café,4.5,658,41.9757474517431,-87.6921836227971,5159 N Lincoln Ave,Chicago,IL,7939.12501234535
ytVUakv872TF68ybLi87Sw,Rosati's Pizza,3.5,60,41.88509,-87.63416,176 N Wells St,Chicago,IL,4231.86433052053
NTP9UXFixe_6WTitLZfu6Q,Crushed Pizzeria,4.5,79,41.961405,-87.669747,1607 W Montrose Ave,Chicago,IL,6294.35813980384
_8a4j6jZlm5QBDkIPYobyw,Paula & Monica's Pizzeria,4,200,41.89635,-87.6656299,1518 W Chicago Ave,Chicago,IL,1406.42909279821
GFB10cCjtLsC-q6qXksPuw,Pat's Pizza,4,443,41.93083,-87.65579,2679 N Lincoln Ave,Chicago,IL,3388.94682729848
84r_TaEPqE1bnYFLqYdOtQ,Lou Malnati's Pizzeria,4,361,41.908901,-87.6774103,1520 N Damen Ave,Chicago,IL,417.095977443604
cxAkuwv7p4gm4Coixw7h9A,Lou Malnati's Pizzeria,4,2639,41.871566,-87.627275,805 S State St,Chicago,IL,5605.46845028599
0fFLUKl71vv3eNV2xhikEw,Spacca Napoli,4,1550,41.963286,-87.673801,1769 W Sunnyside Ave,Chicago,IL,6471.70348593388
fzK4OXv1CL-aeVaLwbbxBw,Tortorice's Pizza & Catering,4,268,41.89113,-87.67142,1746 W Grand Ave,Chicago,IL,1646.83594195816
fQg65bPsZ5fA2y5k3oJbzg,Naty's Pizza 2,4,41,41.89569,-87.6719,1757 W Chicago Ave,Chicago,IL,1151.38026246861
hxq4TNNazA-sjqFvVgx_Pw,Bongiorno's Italian Deli & Pizzeria,4,637,41.889903,-87.625788,405 N Wabash Ave,Chicago,IL,4624.357891488
F7SE2NPZLwolMCzt3qXzzQ,Si-Pie Pizzeria,4,335,41.945351,-87.6459276,3477 N Broadway St,Chicago,IL,5187.53656208147
Z-SJv3keY-u2bIAnkrDq_Q,La Crosta Woodfire Pizzeria Italiana,4.5,219,41.9248027560034,-87.6479495139774,2360 N Lincoln Ave,Chicago,IL,3278.22379216048
q2ZCe6KGHh16dsm2n2A08Q,Tortorice's Pizza,4,120,41.95381,-87.6813899,2101 W Irving Park Rd,Chicago,IL,5421.21007537347
aFBDlYavQOC58AnxSxcKQg,Fat Chris's Pizza and Such,4,245,41.9762649,-87.67228,1706 W Foster Ave,Chicago,IL,7919.32387335099
8eEOnlfXZFYhyzr52ugvCg,Parlor Pizza Bar - River North,4,174,41.8894378,-87.6294351,405 N Dearborn St,Chicago,IL,4376.79488177721
ibreTMGGaQSanZttUchjKg,Gino's East - Magnificent Mile,3.5,2353,41.89603,-87.62307,162 E Superior St,Chicago,IL,4643.25766928464
DfWqQLBJRCIUfQtOgDH1JQ,Dante's Pizzeria,4,358,41.9174418,-87.7034462,3028 W Armitage Ave,Chicago,IL,2526.13134361619
p8w4d-51TEmv5KjrtWheRw,Bob's Pizza,4.5,49,41.9096602,-87.633534,1512 N LaSalle Dr,Chicago,IL,3694.33973113841
